Country,Number of products,Number of Customers ,Last transaction,First Transaction
Australia,420,15,2010-12-08 09:53:00,2010-12-08 09:53:00
Austria,363,10,2010-11-29 10:56:00,2010-11-29 10:56:00
Bahrain,93,2,2010-10-27 12:44:00,2010-10-27 12:44:00
Belgium,481,17,2010-12-03 16:35:00,2010-12-03 16:35:00
Bermuda,34,0,2010-03-18 10:20:00,2010-03-18 10:20:00
Brazil,61,1,2010-09-21 12:49:00,2010-09-21 12:49:00
Canada,77,1,2010-11-08 15:19:00,2010-11-08 15:19:00
Channel Islands,544,12,2010-12-09 11:48:00,2010-12-09 11:48:00
Cyprus,417,7,2010-11-10 09:35:00,2010-11-10 09:35:00
Denmark,285,9,2010-12-09 12:05:00,2010-12-09 12:05:00
EIRE,2054,5,2010-12-09 12:17:00,2010-12-09 12:17:00
Finland,226,8,2010-11-05 12:53:00,2010-11-05 12:53:00
France,1301,47,2010-12-09 14:49:00,2010-12-09 14:49:00
Germany,1461,68,2010-12-09 15:41:00,2010-12-09 15:41:00
Greece,419,4,2010-11-23 12:22:00,2010-11-23 12:22:00
Hong Kong,60,0,2010-08-11 16:30:00,2010-08-11 16:30:00
Iceland,70,1,2010-12-07 14:57:00,2010-12-07 14:57:00
Israel,73,2,2010-11-10 16:40:00,2010-11-10 16:40:00
Italy,514,11,2010-12-06 09:31:00,2010-12-06 09:31:00
Japan,137,6,2010-12-09 10:44:00,2010-12-09 10:44:00
Korea,52,2,2010-11-29 09:38:00,2010-11-29 09:38:00
Lebanon,13,0,2010-10-19 12:36:00,2010-10-19 12:36:00
Lithuania,113,1,2010-12-08 14:43:00,2010-12-08 14:43:00
Malta,162,1,2010-08-31 11:04:00,2010-08-31 11:04:00
Netherlands,881,23,2010-12-01 11:27:00,2010-12-01 11:27:00
Nigeria,32,1,2010-08-20 14:50:00,2010-08-20 14:50:00
Norway,219,5,2010-12-08 16:49:00,2010-12-08 16:49:00
Poland,133,2,2010-12-03 13:40:00,2010-12-03 13:40:00
Portugal,544,18,2010-12-09 10:55:00,2010-12-09 10:55:00
RSA,101,1,2010-11-01 09:11:00,2010-11-01 09:11:00
Singapore,110,1,2010-09-06 10:24:00,2010-09-06 10:24:00
Spain,683,25,2010-12-09 14:55:00,2010-12-09 14:55:00
Sweden,433,16,2010-11-26 12:35:00,2010-11-26 12:35:00
Switzerland,674,14,2010-12-03 10:36:00,2010-12-03 10:36:00
Thailand,76,1,2010-07-05 12:40:00,2010-07-05 12:40:00
USA,159,6,2010-11-18 15:53:00,2010-11-18 15:53:00
United Arab Emirates,334,4,2010-11-19 09:42:00,2010-11-19 09:42:00
United Kingdom,4631,4035,2010-12-09 20:01:00,2010-12-09 20:01:00
Unspecified,247,5,2010-11-29 15:23:00,2010-11-29 15:23:00
West Indies,49,1,2010-08-23 11:58:00,2010-08-23 11:58:00
